eng	math	science	
F	C	D	
B-	C+	B-	
A	C+	D	
C-	C	D-	
A-	A-	A-	
A	A-	A-	
B	B-	B	
A	A	A-	
A-	A, A-	A	stats
A	A-	A	
B+	B	B	
A-	B	A-	
B	D	C	
A	A	A	
C-	B	C	
A	B+	B-	
B-	A-	B	
B	A	B+	
B	B, B+	A-, B+	stats, physics
A-	B	A	
A-	B+	B	
B-	C	C+	
A+	A+	A	
C	C	C	
A-	B	A-	
A	B+, B	B-	stats
A	A	A	
B	B-	C	
C-	C+	C	
A	A	A	
